Grid_ID,Lon,Lat,Event_Type,Delta_Total_mean_ScenarioSpecific,Delta_HA_mean_ScenarioSpecific,Delta_CC_mean_ScenarioSpecific,Delta_Total_mean_CommonReference,Delta_HA_mean_CommonReference,Delta_CC_mean_CommonReference
1384,123.75,49.25,Drought,-0.2657327066142728,0.0386046231264736,-0.3043373297407464,-0.2881971005122477,0.0814677824905148,-0.3696648830027626
1385,124.25,49.25,Drought,-0.2909074308526048,-0.0090934680849365,-0.2818139627676683,-0.1178314379662584,0.022985252601193,-0.1408166905674515
1386,124.75,49.25,Drought,-0.0834760674371667,0.2090272083874791,-0.2925032758246459,-0.0205357381646685,0.1782311724824097,-0.1987669106470783
1387,125.25,49.25,Drought,-0.0604899407241745,0.8835934024435446,-0.9440833431677192,-0.0650722635869147,0.3937662707981376,-0.4588385343850523
1388,125.75,49.25,Drought,-0.3987191114244939,0.0167588122426107,-0.4154779236671047,-0.2128783457536792,-0.0328712829379816,-0.1800070628156976
1389,126.25,49.25,Drought,-0.231531484296931,0.004999758229627,-0.236531242526558,-0.1884816746705982,-0.0881530110676876,-0.1003286636029106
1390,126.75,49.25,Drought,-0.2101955301468341,-0.0199076382999581,-0.1902878918468759,-0.2010993379163172,-0.0175459110080819,-0.1835534269082352
1391,127.25,49.25,Drought,-0.1597900174631946,-0.0023883101666747,-0.1574017072965199,-0.1814845026727816,0.0726434774024502,-0.2541279800752319
1392,127.75,49.25,Drought,-0.2497101560172621,-0.0288499300492513,-0.2208602259680109,-0.1191579572066149,-0.0017103029998543,-0.1174476542067606
1393,128.25,49.25,Drought,-0.3786266483592882,0.02038381658314,-0.3990104649424282,-0.1766450531113538,0.0287828299991701,-0.2054278831105239
1394,128.75,49.25,Drought,-0.2616904830909606,0.1172107453296477,-0.3789012284206083,-0.1397348057230156,0.011050412557961,-0.1507852182809766
1395,129.25,49.25,Drought,-0.7010944454629513,-0.0389628079990912,-0.6621316374638601,-0.124549207375361,0.0326541122541467,-0.1572033196295078
1439,87.25,48.75,Drought,-0.1380669883437704,-0.0355591686964055,-0.1025078196473649,-0.2304710796580344,-0.0288918823902063,-0.201579197267828
1440,87.75,48.75,Drought,-0.1640428466289437,-0.0051659620019117,-0.1588768846270319,-0.2420274795805778,0.0134529147982062,-0.2554803943787841
1497,116.25,48.75,Drought,-0.0744557848334897,-0.0075471698113207,-0.066908615022169,-2.8321549831804766,-0.0124993071948662,-2.819655675985611
1498,116.75,48.75,Drought,0.120159870145536,0.067679239559106,0.0524806305864299,-1.8025367620809856,0.3045004436485167,-2.1070372057295024
1499,117.25,48.75,Drought,-0.258904355788156,-0.0059412132582864,-0.2529631425298695,-2.803208439601481,-0.4387414044763728,-2.364467035125108
1500,117.75,48.75,Drought,-0.2630578300126321,-0.1739351886026426,-0.0891226414099895,-0.2098009514203155,-0.0418920488031502,-0.1679089026171652
